tensor_location,criterion_score,layer_name,value_before,value_after,bit_i,baseline_score,accuracy_drop,activation
"(0, 1, 1, 2)",0.9,conv2.weight,-0.6951062,0.6951062083244324,0,0.87,-0.030000000000000027,rwg
"(0, 1, 2, 0)",0.88,conv2.weight,0.69087726,-0.6908772587776184,0,0.87,-0.010000000000000009,rwg
"(0, 1, 2, 1)",0.88,conv2.weight,0.19574212,-0.19574211537837982,0,0.87,-0.010000000000000009,rwg
"(0, 1, 2, 2)",0.86,conv2.weight,1.1160492,-1.1160491704940796,0,0.87,0.010000000000000009,rwg
"(0, 2, 0, 0)",0.87,conv2.weight,-0.07308763,0.07308763265609741,0,0.87,0.0,rwg
"(0, 2, 0, 1)",0.91,conv2.weight,-0.6685591,0.6685590744018555,0,0.87,-0.040000000000000036,rwg
"(0, 2, 0, 2)",0.87,conv2.weight,-0.19581147,0.195811465382576,0,0.87,0.0,rwg
"(0, 2, 1, 0)",0.91,conv2.weight,-0.26696795,0.2669679522514343,0,0.87,-0.040000000000000036,rwg
"(0, 2, 1, 1)",0.87,conv2.weight,1.2348951,-1.23489511013031,0,0.87,0.0,rwg
"(0, 2, 1, 2)",0.89,conv2.weight,0.67162395,-0.671623945236206,0,0.87,-0.020000000000000018,rwg
"(0, 2, 2, 0)",0.89,conv2.weight,-0.4291082,0.429108202457428,0,0.87,-0.020000000000000018,rwg
"(0, 2, 2, 1)",0.89,conv2.weight,-0.34518728,0.3451872766017914,0,0.87,-0.020000000000000018,rwg
"(0, 2, 2, 2)",0.87,conv2.weight,0.08190373,-0.08190373331308365,0,0.87,0.0,rwg
"(0, 3, 0, 0)",0.88,conv2.weight,0.16725925,-0.16725924611091614,0,0.87,-0.010000000000000009,rwg
"(0, 3, 0, 1)",0.88,conv2.weight,-0.1857424,0.18574239313602448,0,0.87,-0.010000000000000009,rwg
"(0, 3, 0, 2)",0.89,conv2.weight,0.1675256,-0.16752560436725616,0,0.87,-0.020000000000000018,rwg
"(0, 3, 1, 0)",0.88,conv2.weight,-0.23081982,0.23081982135772705,0,0.87,-0.010000000000000009,rwg
"(0, 3, 1, 1)",0.87,conv2.weight,-0.06770318,0.06770318001508713,0,0.87,0.0,rwg
"(0, 3, 1, 2)",0.89,conv2.weight,-0.31725663,0.3172566294670105,0,0.87,-0.020000000000000018,rwg
"(0, 3, 2, 0)",0.88,conv2.weight,-0.38316292,0.3831629157066345,0,0.87,-0.010000000000000009,rwg
"(0, 3, 2, 1)",0.83,conv2.weight,-0.9713852,0.9713851809501648,0,0.87,0.040000000000000036,rwg
"(0, 3, 2, 2)",0.88,conv2.weight,-0.20476528,0.20476527512073517,0,0.87,-0.010000000000000009,rwg
"(1, 0, 0, 0)",0.87,conv2.weight,0.095876835,-0.09587683528661728,0,0.87,0.0,rwg
"(1, 0, 0, 1)",0.86,conv2.weight,0.0524461,-0.05244610086083412,0,0.87,0.010000000000000009,rwg
"(1, 0, 0, 2)",0.88,conv2.weight,-0.0953319,0.09533189982175827,0,0.87,-0.010000000000000009,rwg
"(1, 0, 1, 0)",0.88,conv2.weight,-0.28845102,0.28845101594924927,0,0.87,-0.010000000000000009,rwg
"(1, 0, 1, 1)",0.88,conv2.weight,0.23532818,-0.23532818257808685,0,0.87,-0.010000000000000009,rwg
"(1, 0, 1, 2)",0.86,conv2.weight,0.18559922,-0.185599222779274,0,0.87,0.010000000000000009,rwg
"(1, 0, 2, 0)",0.87,conv2.weight,0.14956641,-0.1495664119720459,0,0.87,0.0,rwg
"(1, 0, 2, 1)",0.88,conv2.weight,-0.11989078,0.11989077925682068,0,0.87,-0.010000000000000009,rwg
"(1, 0, 2, 2)",0.87,conv2.weight,0.73431194,-0.7343119382858276,0,0.87,0.0,rwg
"(1, 1, 0, 0)",0.87,conv2.weight,-0.15160888,0.1516088843345642,0,0.87,0.0,rwg
"(1, 1, 0, 1)",0.87,conv2.weight,-0.45187965,0.4518796503543854,0,0.87,0.0,rwg
"(1, 1, 0, 2)",0.87,conv2.weight,-0.027006207,0.027006207033991814,0,0.87,0.0,rwg
"(1, 1, 1, 0)",0.88,conv2.weight,0.24658592,-0.2465859204530716,0,0.87,-0.010000000000000009,rwg
"(1, 1, 1, 1)",0.88,conv2.weight,-0.14989251,0.14989250898361206,0,0.87,-0.010000000000000009,rwg
"(1, 1, 1, 2)",0.89,conv2.weight,-0.28431013,0.28431013226509094,0,0.87,-0.020000000000000018,rwg
"(1, 1, 2, 0)",0.87,conv2.weight,0.017795024,-0.017795024439692497,0,0.87,0.0,rwg
"(1, 1, 2, 1)",0.87,conv2.weight,-0.057943687,0.057943686842918396,0,0.87,0.0,rwg
"(1, 1, 2, 2)",0.88,conv2.weight,-0.06756094,0.06756094098091125,0,0.87,-0.010000000000000009,rwg
"(1, 2, 0, 0)",0.88,conv2.weight,-0.19920947,0.19920946657657623,0,0.87,-0.010000000000000009,rwg
"(1, 2, 0, 1)",0.87,conv2.weight,-0.032451697,0.03245169669389725,0,0.87,0.0,rwg
"(1, 2, 0, 2)",0.87,conv2.weight,-0.012908915,0.012908915057778358,0,0.87,0.0,rwg
"(1, 2, 1, 0)",0.87,conv2.weight,0.9953545,-0.9953544735908508,0,0.87,0.0,rwg
"(1, 2, 1, 1)",0.88,conv2.weight,0.48512256,-0.48512256145477295,0,0.87,-0.010000000000000009,rwg
"(1, 2, 1, 2)",0.87,conv2.weight,-0.24865969,0.24865968525409698,0,0.87,0.0,rwg
"(1, 2, 2, 0)",0.86,conv2.weight,0.13064271,-0.13064271211624146,0,0.87,0.010000000000000009,rwg
"(1, 2, 2, 1)",0.87,conv2.weight,0.31508526,-0.3150852620601654,0,0.87,0.0,rwg
"(1, 2, 2, 2)",0.87,conv2.weight,0.4277638,-0.42776378989219666,0,0.87,0.0,rwg
"(1, 3, 0, 0)",0.83,conv2.weight,-1.5961311,1.5961310863494873,0,0.87,0.040000000000000036,rwg
"(1, 3, 0, 1)",0.87,conv2.weight,-1.4305806,1.4305806159973145,0,0.87,0.0,rwg
"(1, 3, 0, 2)",0.89,conv2.weight,-1.1059341,1.1059341430664062,0,0.87,-0.020000000000000018,rwg
"(1, 3, 1, 0)",0.89,conv2.weight,0.29610953,-0.29610952734947205,0,0.87,-0.020000000000000018,rwg
"(1, 3, 1, 1)",0.87,conv2.weight,-0.03877873,0.03877872973680496,0,0.87,0.0,rwg
"(1, 3, 1, 2)",0.89,conv2.weight,-0.24811652,0.24811652302742004,0,0.87,-0.020000000000000018,rwg
"(1, 3, 2, 0)",0.88,conv2.weight,0.26374462,-0.26374462246894836,0,0.87,-0.010000000000000009,rwg
"(1, 3, 2, 1)",0.87,conv2.weight,-0.037367553,0.037367552518844604,0,0.87,0.0,rwg
"(1, 3, 2, 2)",0.88,conv2.weight,0.41990057,-0.4199005663394928,0,0.87,-0.010000000000000009,rwg
"(2, 0, 0, 0)",0.88,conv2.weight,-0.72374624,0.7237462401390076,0,0.87,-0.010000000000000009,rwg
"(2, 0, 0, 1)",0.87,conv2.weight,-0.30550757,0.3055075705051422,0,0.87,0.0,rwg
"(2, 0, 0, 2)",0.88,conv2.weight,1.1342767,-1.1342767477035522,0,0.87,-0.010000000000000009,rwg
"(2, 0, 1, 0)",0.88,conv2.weight,0.061598048,-0.061598047614097595,0,0.87,-0.010000000000000009,rwg
"(2, 0, 1, 1)",0.87,conv2.weight,-0.18848094,0.188480943441391,0,0.87,0.0,rwg
"(2, 0, 1, 2)",0.88,conv2.weight,0.44070956,-0.44070956110954285,0,0.87,-0.010000000000000009,rwg
"(2, 0, 2, 0)",0.88,conv2.weight,0.092360534,-0.09236053377389908,0,0.87,-0.010000000000000009,rwg
"(2, 0, 2, 1)",0.88,conv2.weight,0.1030875,-0.10308749973773956,0,0.87,-0.010000000000000009,rwg
"(2, 0, 2, 2)",0.88,conv2.weight,1.1187761,-1.1187760829925537,0,0.87,-0.010000000000000009,rwg
"(2, 1, 0, 0)",0.87,conv2.weight,-0.033740424,0.03374042361974716,0,0.87,0.0,rwg
"(2, 1, 0, 1)",0.87,conv2.weight,-0.1941676,0.1941675990819931,0,0.87,0.0,rwg
"(2, 1, 0, 2)",0.87,conv2.weight,-0.5001706,0.5001705884933472,0,0.87,0.0,rwg
"(2, 1, 1, 0)",0.89,conv2.weight,0.24977586,-0.24977585673332214,0,0.87,-0.020000000000000018,rwg
"(2, 1, 1, 1)",0.87,conv2.weight,-0.26469284,0.26469284296035767,0,0.87,0.0,rwg
"(2, 1, 1, 2)",0.87,conv2.weight,0.2345073,-0.23450730741024017,0,0.87,0.0,rwg
"(2, 1, 2, 0)",0.87,conv2.weight,-0.15807469,0.15807469189167023,0,0.87,0.0,rwg
"(2, 1, 2, 1)",0.87,conv2.weight,0.09380376,-0.0938037633895874,0,0.87,0.0,rwg
"(2, 1, 2, 2)",0.88,conv2.weight,-0.36601362,0.36601361632347107,0,0.87,-0.010000000000000009,rwg
