tensor_location,criterion_score,layer_name,value_before,value_after,bit_i,baseline_score,accuracy_drop,activation
"(0, 1, 1, 1)",0.95,conv2.weight,-0.07815593,0.07815592736005783,0,0.95,0.0,leakyrelu
"(0, 1, 1, 2)",0.95,conv2.weight,-0.0141428085,0.014142808504402637,0,0.95,0.0,leakyrelu
"(0, 1, 2, 0)",0.95,conv2.weight,-0.148047,0.14804700016975403,0,0.95,0.0,leakyrelu
"(0, 1, 2, 1)",0.95,conv2.weight,-0.041543458,0.04154345765709877,0,0.95,0.0,leakyrelu
"(0, 1, 2, 2)",0.95,conv2.weight,0.15599953,-0.15599952638149261,0,0.95,0.0,leakyrelu
"(0, 2, 0, 0)",0.95,conv2.weight,0.08019334,-0.08019334077835083,0,0.95,0.0,leakyrelu
"(0, 2, 0, 1)",0.95,conv2.weight,0.0008317055,-0.0008317055180668831,0,0.95,0.0,leakyrelu
"(0, 2, 0, 2)",0.95,conv2.weight,0.09014728,-0.09014727920293808,0,0.95,0.0,leakyrelu
"(0, 2, 1, 0)",0.95,conv2.weight,-0.04807128,0.048071280121803284,0,0.95,0.0,leakyrelu
"(0, 2, 1, 1)",0.95,conv2.weight,-0.26736957,0.2673695683479309,0,0.95,0.0,leakyrelu
"(0, 2, 1, 2)",0.95,conv2.weight,0.28046507,-0.2804650664329529,0,0.95,0.0,leakyrelu
"(0, 2, 2, 0)",0.95,conv2.weight,-0.0046122395,0.004612239543348551,0,0.95,0.0,leakyrelu
"(0, 2, 2, 1)",0.95,conv2.weight,-0.13613212,0.1361321210861206,0,0.95,0.0,leakyrelu
"(0, 2, 2, 2)",0.95,conv2.weight,0.34163207,-0.34163206815719604,0,0.95,0.0,leakyrelu
"(0, 3, 0, 0)",0.95,conv2.weight,-0.03257339,0.0325733907520771,0,0.95,0.0,leakyrelu
"(0, 3, 0, 1)",0.95,conv2.weight,-0.118285805,0.11828580498695374,0,0.95,0.0,leakyrelu
"(0, 3, 0, 2)",0.94,conv2.weight,-0.112808734,0.11280873417854309,0,0.95,0.010000000000000009,leakyrelu
"(0, 3, 1, 0)",0.95,conv2.weight,-0.099328205,0.09932820498943329,0,0.95,0.0,leakyrelu
"(0, 3, 1, 1)",0.95,conv2.weight,-0.08073127,0.08073127269744873,0,0.95,0.0,leakyrelu
"(0, 3, 1, 2)",0.93,conv2.weight,-0.29691103,0.2969110310077667,0,0.95,0.019999999999999907,leakyrelu
"(0, 3, 2, 0)",0.95,conv2.weight,-0.053485896,0.053485896438360214,0,0.95,0.0,leakyrelu
"(0, 3, 2, 1)",0.95,conv2.weight,0.021564681,-0.021564681082963943,0,0.95,0.0,leakyrelu
"(0, 3, 2, 2)",0.95,conv2.weight,-0.0051415283,0.005141528323292732,0,0.95,0.0,leakyrelu
"(1, 0, 0, 0)",0.94,conv2.weight,0.40611637,-0.4061163663864136,0,0.95,0.010000000000000009,leakyrelu
"(1, 0, 0, 1)",0.95,conv2.weight,-0.037909318,0.03790931776165962,0,0.95,0.0,leakyrelu
"(1, 0, 0, 2)",0.95,conv2.weight,0.19277397,-0.1927739679813385,0,0.95,0.0,leakyrelu
"(1, 0, 1, 0)",0.95,conv2.weight,0.34053475,-0.3405347466468811,0,0.95,0.0,leakyrelu
"(1, 0, 1, 1)",0.95,conv2.weight,-0.17330247,0.17330247163772583,0,0.95,0.0,leakyrelu
"(1, 0, 1, 2)",0.95,conv2.weight,-0.12707362,0.12707361578941345,0,0.95,0.0,leakyrelu
"(1, 0, 2, 0)",0.94,conv2.weight,0.44665715,-0.4466571509838104,0,0.95,0.010000000000000009,leakyrelu
"(1, 0, 2, 1)",0.95,conv2.weight,0.14353205,-0.14353205263614655,0,0.95,0.0,leakyrelu
"(1, 0, 2, 2)",0.95,conv2.weight,-0.008736207,0.008736207149922848,0,0.95,0.0,leakyrelu
"(1, 1, 0, 0)",0.95,conv2.weight,-0.063473456,0.06347345560789108,0,0.95,0.0,leakyrelu
"(1, 1, 0, 1)",0.95,conv2.weight,0.07420273,-0.07420273125171661,0,0.95,0.0,leakyrelu
"(1, 1, 0, 2)",0.95,conv2.weight,0.02020562,-0.020205620676279068,0,0.95,0.0,leakyrelu
"(1, 1, 1, 0)",0.95,conv2.weight,-0.22949791,0.22949790954589844,0,0.95,0.0,leakyrelu
"(1, 1, 1, 1)",0.95,conv2.weight,0.15454246,-0.1545424610376358,0,0.95,0.0,leakyrelu
"(1, 1, 1, 2)",0.95,conv2.weight,-0.2305684,0.23056839406490326,0,0.95,0.0,leakyrelu
"(1, 1, 2, 0)",0.95,conv2.weight,-0.05069617,0.05069617182016373,0,0.95,0.0,leakyrelu
"(1, 1, 2, 1)",0.95,conv2.weight,0.07626484,-0.07626484334468842,0,0.95,0.0,leakyrelu
"(1, 1, 2, 2)",0.95,conv2.weight,-0.00083862385,0.0008386238478124142,0,0.95,0.0,leakyrelu
"(1, 2, 0, 0)",0.94,conv2.weight,0.17739968,-0.177399680018425,0,0.95,0.010000000000000009,leakyrelu
"(1, 2, 0, 1)",0.95,conv2.weight,-0.0534207,0.05342070013284683,0,0.95,0.0,leakyrelu
"(1, 2, 0, 2)",0.95,conv2.weight,-0.20286538,0.2028653770685196,0,0.95,0.0,leakyrelu
"(1, 2, 1, 0)",0.95,conv2.weight,0.20724453,-0.20724453032016754,0,0.95,0.0,leakyrelu
"(1, 2, 1, 1)",0.95,conv2.weight,0.06648862,-0.06648862361907959,0,0.95,0.0,leakyrelu
"(1, 2, 1, 2)",0.94,conv2.weight,-0.38827682,0.3882768154144287,0,0.95,0.010000000000000009,leakyrelu
"(1, 2, 2, 0)",0.95,conv2.weight,0.03555225,-0.0355522483587265,0,0.95,0.0,leakyrelu
"(1, 2, 2, 1)",0.95,conv2.weight,-0.08132294,0.08132293820381165,0,0.95,0.0,leakyrelu
"(1, 2, 2, 2)",0.94,conv2.weight,-0.25963482,0.2596348226070404,0,0.95,0.010000000000000009,leakyrelu
"(1, 3, 0, 0)",0.95,conv2.weight,-0.14811055,0.1481105536222458,0,0.95,0.0,leakyrelu
"(1, 3, 0, 1)",0.94,conv2.weight,0.1747121,-0.17471210658550262,0,0.95,0.010000000000000009,leakyrelu
"(1, 3, 0, 2)",0.95,conv2.weight,-0.14699496,0.1469949632883072,0,0.95,0.0,leakyrelu
"(1, 3, 1, 0)",0.94,conv2.weight,-0.24715087,0.24715086817741394,0,0.95,0.010000000000000009,leakyrelu
"(1, 3, 1, 1)",0.95,conv2.weight,0.2048271,-0.20482710003852844,0,0.95,0.0,leakyrelu
"(1, 3, 1, 2)",0.95,conv2.weight,0.118249565,-0.1182495653629303,0,0.95,0.0,leakyrelu
"(1, 3, 2, 0)",0.95,conv2.weight,-0.22640282,0.22640281915664673,0,0.95,0.0,leakyrelu
"(1, 3, 2, 1)",0.94,conv2.weight,0.25153306,-0.25153306126594543,0,0.95,0.010000000000000009,leakyrelu
"(1, 3, 2, 2)",0.95,conv2.weight,-0.1576482,0.1576482057571411,0,0.95,0.0,leakyrelu
"(2, 0, 0, 0)",0.95,conv2.weight,0.35085025,-0.35085025429725647,0,0.95,0.0,leakyrelu
"(2, 0, 0, 1)",0.93,conv2.weight,0.3967873,-0.39678728580474854,0,0.95,0.019999999999999907,leakyrelu
"(2, 0, 0, 2)",0.95,conv2.weight,-0.03976373,0.03976373001933098,0,0.95,0.0,leakyrelu
"(2, 0, 1, 0)",0.95,conv2.weight,0.0032102894,-0.003210289403796196,0,0.95,0.0,leakyrelu
"(2, 0, 1, 1)",0.94,conv2.weight,-0.22330517,0.22330516576766968,0,0.95,0.010000000000000009,leakyrelu
"(2, 0, 1, 2)",0.95,conv2.weight,-0.47954974,0.47954973578453064,0,0.95,0.0,leakyrelu
"(2, 0, 2, 0)",0.95,conv2.weight,0.060956877,-0.06095687672495842,0,0.95,0.0,leakyrelu
"(2, 0, 2, 1)",0.95,conv2.weight,0.16592689,-0.16592688858509064,0,0.95,0.0,leakyrelu
"(2, 0, 2, 2)",0.95,conv2.weight,0.11582941,-0.11582940816879272,0,0.95,0.0,leakyrelu
"(2, 1, 0, 0)",0.95,conv2.weight,-0.045701347,0.045701347291469574,0,0.95,0.0,leakyrelu
"(2, 1, 0, 1)",0.92,conv2.weight,0.32460532,-0.3246053159236908,0,0.95,0.029999999999999916,leakyrelu
"(2, 1, 0, 2)",0.92,conv2.weight,0.43914747,-0.4391474723815918,0,0.95,0.029999999999999916,leakyrelu
"(2, 1, 1, 0)",0.92,conv2.weight,-0.39383447,0.3938344717025757,0,0.95,0.029999999999999916,leakyrelu
"(2, 1, 1, 1)",0.9,conv2.weight,-0.32483017,0.32483017444610596,0,0.95,0.04999999999999993,leakyrelu
"(2, 1, 1, 2)",0.87,conv2.weight,-0.46053457,0.46053457260131836,0,0.95,0.07999999999999996,leakyrelu
"(2, 1, 2, 0)",0.95,conv2.weight,0.16112776,-0.16112776100635529,0,0.95,0.0,leakyrelu
"(2, 1, 2, 1)",0.9,conv2.weight,-0.2943255,0.29432550072669983,0,0.95,0.04999999999999993,leakyrelu
"(2, 1, 2, 2)",0.94,conv2.weight,-0.098050684,0.09805068373680115,0,0.95,0.010000000000000009,leakyrelu
"(2, 2, 0, 0)",0.94,conv2.weight,0.24232365,-0.24232365190982819,0,0.95,0.010000000000000009,leakyrelu
"(2, 2, 0, 1)",0.93,conv2.weight,0.44441935,-0.44441935420036316,0,0.95,0.019999999999999907,leakyrelu
"(2, 2, 0, 2)",0.92,conv2.weight,0.37537462,-0.37537461519241333,0,0.95,0.029999999999999916,leakyrelu
"(2, 2, 1, 0)",0.95,conv2.weight,-0.3315429,0.3315429091453552,0,0.95,0.0,leakyrelu
"(2, 2, 1, 1)",0.95,conv2.weight,-0.12311367,0.12311366945505142,0,0.95,0.0,leakyrelu
"(2, 2, 1, 2)",0.95,conv2.weight,-0.42362243,0.4236224293708801,0,0.95,0.0,leakyrelu
"(2, 2, 2, 0)",0.95,conv2.weight,-0.041011065,0.04101106524467468,0,0.95,0.0,leakyrelu
"(2, 2, 2, 1)",0.95,conv2.weight,0.23834693,-0.23834693431854248,0,0.95,0.0,leakyrelu
"(2, 2, 2, 2)",0.95,conv2.weight,0.25590986,-0.25590986013412476,0,0.95,0.0,leakyrelu
"(2, 3, 0, 0)",0.95,conv2.weight,-0.13933352,0.13933351635932922,0,0.95,0.0,leakyrelu
"(2, 3, 0, 1)",0.95,conv2.weight,0.14830968,-0.14830967783927917,0,0.95,0.0,leakyrelu
"(2, 3, 0, 2)",0.95,conv2.weight,-0.037502173,0.03750217333436012,0,0.95,0.0,leakyrelu
"(2, 3, 1, 0)",0.93,conv2.weight,-0.30937526,0.30937525629997253,0,0.95,0.019999999999999907,leakyrelu
"(2, 3, 1, 1)",0.92,conv2.weight,-0.40107417,0.4010741710662842,0,0.95,0.029999999999999916,leakyrelu
"(2, 3, 1, 2)",0.87,conv2.weight,-0.40715405,0.40715405344963074,0,0.95,0.07999999999999996,leakyrelu
