tensor_location,criterion_score,layer_name,value_before,value_after,bit_i,baseline_score,accuracy_drop,activation
"(0, 2, 0, 1)",0.98,conv2.weight,0.08396143,-0.0839614272117614,0,0.98,0.0,relu
"(0, 2, 0, 2)",0.96,conv2.weight,-0.18057726,0.1805772632360458,0,0.98,0.02,relu
"(0, 2, 1, 0)",0.98,conv2.weight,-0.0462324,0.0462323985993862,0,0.98,0.0,relu
"(0, 2, 1, 1)",0.98,conv2.weight,0.011388679,-0.0113886790350079,0,0.98,0.0,relu
"(0, 2, 1, 2)",0.98,conv2.weight,0.108861625,-0.1088616251945495,0,0.98,0.0,relu
"(0, 2, 2, 0)",0.98,conv2.weight,-0.37113562,0.3711356222629547,0,0.98,0.0,relu
"(0, 2, 2, 1)",0.98,conv2.weight,-0.06514826,0.0651482567191124,0,0.98,0.0,relu
"(0, 2, 2, 2)",0.96,conv2.weight,-0.24570766,0.2457076609134674,0,0.98,0.02,relu
"(0, 3, 0, 0)",0.97,conv2.weight,0.2874804,-0.2874804139137268,0,0.98,0.01,relu
"(0, 3, 0, 1)",0.97,conv2.weight,0.19224945,-0.192249447107315,0,0.98,0.01,relu
"(0, 3, 0, 2)",0.98,conv2.weight,0.3267061,-0.3267061114311218,0,0.98,0.0,relu
"(0, 3, 1, 0)",0.95,conv2.weight,-0.2171784,0.2171784043312072,0,0.98,0.03,relu
"(0, 3, 1, 1)",0.98,conv2.weight,0.016704617,-0.0167046170681715,0,0.98,0.0,relu
"(0, 3, 1, 2)",0.98,conv2.weight,0.13806869,-0.1380686908960342,0,0.98,0.0,relu
"(0, 3, 2, 0)",0.97,conv2.weight,-0.25760296,0.2576029598712921,0,0.98,0.01,relu
"(0, 3, 2, 1)",0.95,conv2.weight,-0.2142243,0.2142242938280105,0,0.98,0.03,relu
"(0, 3, 2, 2)",0.97,conv2.weight,-0.22199997,0.2219999730587005,0,0.98,0.01,relu
"(1, 0, 0, 0)",0.98,conv2.weight,0.2817597,-0.2817597091197967,0,0.98,0.0,relu
"(1, 0, 0, 1)",0.98,conv2.weight,-0.05347005,0.0534700490534305,0,0.98,0.0,relu
"(1, 0, 0, 2)",0.97,conv2.weight,0.11671194,-0.1167119368910789,0,0.98,0.01,relu
"(1, 0, 1, 0)",0.98,conv2.weight,-0.0008431318,0.0008431317983195,0,0.98,0.0,relu
"(1, 0, 1, 1)",0.98,conv2.weight,0.023203107,-0.0232031065970659,0,0.98,0.0,relu
"(1, 0, 1, 2)",0.98,conv2.weight,-0.013674109,0.0136741092428565,0,0.98,0.0,relu
"(1, 0, 2, 0)",0.96,conv2.weight,-0.12366934,0.1236693412065506,0,0.98,0.02,relu
"(1, 0, 2, 1)",0.97,conv2.weight,-0.08592703,0.0859270319342613,0,0.98,0.01,relu
"(1, 0, 2, 2)",0.97,conv2.weight,-0.104334466,0.1043344661593437,0,0.98,0.01,relu
"(1, 1, 0, 0)",0.98,conv2.weight,-0.12732562,0.1273256242275238,0,0.98,0.0,relu
"(1, 1, 0, 1)",0.98,conv2.weight,-0.03789531,0.0378953106701374,0,0.98,0.0,relu
"(1, 1, 0, 2)",0.98,conv2.weight,-0.10415111,0.1041511073708534,0,0.98,0.0,relu
"(1, 1, 1, 0)",0.98,conv2.weight,-0.21447125,0.2144712507724762,0,0.98,0.0,relu
"(1, 1, 1, 1)",0.98,conv2.weight,-0.1690597,0.1690596938133239,0,0.98,0.0,relu
"(1, 1, 1, 2)",0.98,conv2.weight,-0.19259478,0.1925947815179824,0,0.98,0.0,relu
"(1, 1, 2, 0)",0.98,conv2.weight,0.24836168,-0.2483616769313812,0,0.98,0.0,relu
"(1, 1, 2, 1)",0.98,conv2.weight,0.035373203,-0.0353732034564018,0,0.98,0.0,relu
"(1, 1, 2, 2)",0.98,conv2.weight,-0.05709334,0.0570933409035205,0,0.98,0.0,relu
"(1, 2, 0, 0)",0.98,conv2.weight,-0.23395471,0.2339547127485275,0,0.98,0.0,relu
"(1, 2, 0, 1)",0.97,conv2.weight,-0.30980986,0.3098098635673523,0,0.98,0.01,relu
"(1, 2, 0, 2)",0.97,conv2.weight,-0.36233175,0.362331748008728,0,0.98,0.01,relu
"(1, 2, 1, 0)",0.98,conv2.weight,0.036230296,-0.0362302958965301,0,0.98,0.0,relu
"(1, 2, 1, 1)",0.97,conv2.weight,0.16593531,-0.1659353077411651,0,0.98,0.01,relu
"(1, 2, 1, 2)",0.98,conv2.weight,0.08926234,-0.0892623364925384,0,0.98,0.0,relu
"(1, 2, 2, 0)",0.98,conv2.weight,0.041163996,-0.0411639958620071,0,0.98,0.0,relu
"(1, 2, 2, 1)",0.98,conv2.weight,-0.02239371,0.0223937109112739,0,0.98,0.0,relu
"(1, 2, 2, 2)",0.97,conv2.weight,-0.13894476,0.1389447599649429,0,0.98,0.01,relu
"(1, 3, 0, 0)",0.96,conv2.weight,0.18800814,-0.1880081444978714,0,0.98,0.02,relu
"(1, 3, 0, 1)",0.96,conv2.weight,0.1523717,-0.1523717045783996,0,0.98,0.02,relu
"(1, 3, 0, 2)",0.96,conv2.weight,0.25150806,-0.2515080571174621,0,0.98,0.02,relu
"(1, 3, 1, 0)",0.98,conv2.weight,-0.002698816,0.0026988158933818,0,0.98,0.0,relu
"(1, 3, 1, 1)",0.97,conv2.weight,0.18021974,-0.1802197396755218,0,0.98,0.01,relu
"(1, 3, 1, 2)",0.95,conv2.weight,0.22022529,-0.2202252894639969,0,0.98,0.03,relu
